Keyword,Search Volume (Est.),Competition,Priority,Intent,Status,Article/Action,Opportunity Score,Notes
"how to find cheap flights",7700,HIGH,HIGH,Informational,COVERED,how-to-find-cheap-flights.mdx,8/10,"Pillar article - already ranking. Keep optimizing."
"how to get cheap flights",3700,HIGH,HIGH,Informational,COVERED,how-to-find-cheap-flights.mdx,8/10,"Same intent as above. Covered by pillar."
"where to find cheap flights",1200,MEDIUM,MEDIUM,Informational,COVERED,how-to-find-cheap-flights.mdx,7/10,"Covered by pillar article."
"best time to book flights",3000,MEDIUM,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,9/10,"Title optimized. 8 FAQs added."
"cheapest day to book flights",2500,MEDIUM,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,8/10,"FAQ added targeting this query."
"cheapest day to fly",2000,MEDIUM,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,8/10,"Covered in article body."
"how far in advance to book flights",1800,MEDIUM,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,8/10,"Multiple FAQs cover this."
"do flight prices go down on tuesday",800,LOW,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,9/10,"FAQ added. Low competition myth-busting query."
"when to book christmas flights",600,LOW,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,9/10,"FAQ added. Seasonal but high intent."
"is it cheaper to book flights at midnight",400,LOW,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,9/10,"FAQ added. Popular myth query."
"flight deal alerts worth it",400,LOW,HIGH,Transactional,COVERED,flight-deal-alerts-do-they-work.mdx,9/10,"Title optimized. High conversion potential."
"do flight deal alerts work",300,LOW,HIGH,Transactional,COVERED,flight-deal-alerts-do-they-work.mdx,9/10,"Covered by article."
"best flight deal websites 2026",800,MEDIUM,HIGH,Transactional,PARTIAL,flight-deal-alerts-do-they-work.mdx,8/10,"Keyword added. Could expand content."
"google flights tips",1500,MEDIUM,MEDIUM,Informational,COVERED,google-flights-tips.mdx,7/10,"Title optimized with year."
"google flights tricks",800,LOW,MEDIUM,Informational,COVERED,google-flights-tips.mdx,8/10,"Covered in article."
"how to use google flights",1200,MEDIUM,MEDIUM,Informational,COVERED,google-flights-tips.mdx,7/10,"Covered in article."
"google flights vs skyscanner",1500,MEDIUM,HIGH,Informational,NOT COVERED,NEW ARTICLE NEEDED,9/10,"High opportunity. Comparison article recommended."
"google flights vs kayak",800,MEDIUM,HIGH,Informational,NOT COVERED,NEW ARTICLE NEEDED,8/10,"Can combine with skyscanner comparison."
